,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id,average_watts,weighted_average_watts,max_watts,average_cadence,suffer_score,average_speed,max_speed,average_temp
142,5761650299,Afternoon Run,2021-08-08T16:00:00Z,Run,4184.3,1300,1300,0,[],,0,0,0,0,0,3.219,0,0
143,5754048163,Lunch Run,2021-08-07T11:44:33Z,Run,603.8,203,203,0.0,"[39.281635, -74.561437]",garmin_push_7262598752,0,0,0,78.4,4.0,2.974,3.5,0
144,5754037605,Lunch Run,2021-08-07T11:11:42Z,Run,5092.1,1333,1467,0.0,"[39.279493, -74.566234]",garmin_push_7262587330,0,0,0,79.7,56.0,3.82,5.2,0
145,5753577104,Morning Ride,2021-08-07T09:11:00Z,Ride,37074.8,4327,4409,146.0,"[39.281239, -74.561632]",2021-08-07-131100-ELEMNT BOLT 7531-231-0.fit,172.3,202,455,76.8,68.0,8.568,14.2,25
146,5749337175,Afternoon Run,2021-08-06T13:29:04Z,Run,8181.8,2156,2172,2.1,"[39.28075, -74.560392]",garmin_push_7257478275,0,0,0,78.8,118.0,3.795,5.0,0
147,5740274791,Evening Run,2021-08-04T18:33:03Z,Run,8078.0,2291,2418,61.8,"[38.908427, -77.084982]",garmin_push_7247551749,0,0,0,78.3,63.0,3.526,5.7,0
148,5734841095,Evening Run,2021-08-03T18:56:57Z,Run,7256.9,1982,2111,33.0,"[38.908497, -77.084931]",garmin_push_7241693581,0,0,0,78.5,77.0,3.661,4.4,0
149,5728984093,Evening Run,2021-08-02T18:20:04Z,Run,7246.7,2058,2118,76.0,"[38.9086, -77.084683]",garmin_push_7235411490,0,0,0,77.1,69.0,3.521,4.4,0
150,5709066083,Afternoon Ride,2021-07-29T17:53:45Z,Ride,21308.6,2696,2840,78.0,"[38.908656, -77.084642]",2021-07-29-215345-ELEMNT BOLT 7531-230-0.fit,161.5,197,522,73.9,27.0,7.904,13.5,26
151,5703445873,Evening Run,2021-07-28T19:52:49Z,Run,3856.6,1122,1145,33.7,"[38.908372, -77.084584]",garmin_push_7207127065,0,0,0,77.5,23.0,3.437,4.3,0
152,5698257014,Evening Ride,2021-07-27T18:00:56Z,Ride,73356.4,7961,9457,720.0,"[38.90829, -77.08467]",2021-07-27-220056-ELEMNT BOLT 7531-229-0.fit,202.2,216,636,84.9,105.0,9.214,19.7,26
153,5692771782,Evening Run,2021-07-26T19:16:05Z,Run,5737.4,1607,1926,56.9,"[38.908201, -77.084314]",garmin_push_7195556590,0,0,0,78.5,49.0,3.57,5.5,0
154,5679701962,Morning Ride,2021-07-24T09:03:07Z,Ride,41577.3,4891,5510,208.0,"[38.908403, -77.084814]",2021-07-24-130306-ELEMNT BOLT 7531-228-0.fit,171.5,189,488,81.3,14.0,8.501,13.8,24
155,5671691908,Afternoon Ride,2021-07-22T17:37:23Z,Ride,56868.1,5951,11080,51.0,"[38.908178, -77.084522]",2021-07-22-213723-ELEMNT BOLT 7531-227-0.fit,185.2,216,799,80.7,26.0,9.556,15.7,25
